# Getf2 Small Kernel Arguments
m=22
n=22
lda=100
batch_count=3
offset=48
shiftA=4848
strideA=0
shiftP=48
strideP=70
stridePI=70
pivot=1
grid=1,2,1
block=22,2,1
lmemsize=176
# Batch 0 Matrix A (row-major, m=22 x n=22)
409.722, 4.63894, -1.20649, 2.70445, 4.90783, 0.011544, -1.44252, -0.223167, 3.79937, 5.97562, 1.96269, -0.109205, 3.93984, 2.90013, 2.8868, 4.62245, 3.68259, 0.84022, 4.77797, 4.57542, 1.99022, 4.63062
-1.12298, 406.936, -1.98948, -1.27372, 3.04167, 1.84733, 2.07024, 2.66263, 1.92498, 0.9093, 1.69143, 3.69582, -0.126942, -1.97291, 1.81615, 5.66884, 3.01767, 2.81565, -1.38117, 5.56132, -1.92464, 4.7595
-1.20609, -0.153217, 409.939, 3.63419, -2.20205, 0.879163, 5.64071, 3.82561, 4.71227, -2.28323, 0.862699, -3.33334, -2.97332, -2.08897, -2.90512, 2.80612, 3.44561, 2.91889, -0.080036, -0.548632, 1.62089, 4.57265
5.75108, 0.809502, 3.80336, 409.602, -0.0369528, -0.504721, -2.26137, -1.5153, -2.28368, 4.86813, -3.24736, 4.57225, -0.289464, 5.6625, 0.704814, 3.7389, -1.19666, 5.96156, -3.39407, -3.29043, 4.04403, 5.79547
5.97183, 2.14937, 5.08032, 4.79603, 402.928, 0.916895, 3.9621, 2.70542, 5.10445, -0.990425, 3.74546, 5.68934, 1.84612, -2.09828, -3.03143, 3.88593, 2.78165, 2.01857, -0.867375, 4.81783, 5.73923, -1.97379
0.725375, -2.19295, 2.12927, -1.22341, -2.09815, 402.845, -1.33602, 0.539825, 1.7608, 1.81863, -0.200129, -2.43406, -2.0708, -3.31357, -1.13555, -2.48635, -2.29943, 0.720051, 0.899897, 1.49755, -1.35222, 5.48959
-3.24386, 0.767476, -1.06371, 1.94246, -2.06236, -0.99359, 401.947, -2.13477, 5.89173, 3.83041, -0.190347, -0.896766, 4.07173, -0.298515, -2.14634, 0.720032, -3.01907, -0.248764, -2.93689, 2.62354, 3.69107, -0.269077
2.49316, 3.71306, 5.79795, 3.76359, -0.818392, 3.71743, 4.58327, 403.666, 3.84633, 0.769008, 5.78422, 5.73924, 3.91272, 5.85565, 0.759903, 3.62805, 1.48019, -3.29189, 4.45519, 1.60364, -0.095974, 0.62572
-3.39608, -0.215074, 1.04138, -3.27758, 0.691695, 5.39916, 1.4174, 3.57582, 406.792, -2.09999, 5.62482, 5.61832, 5.78725, 3.84581, -1.28545, -0.585106, -0.470457, -0.971744, -1.36406, -3.24836, 1.56147, 5.38043
2.97031, 3.0384, 4.00576, 1.82196, 2.69302, 5.75498, 0.97408, 1.84284, 1.7842, 407.729, -1.98395, -0.203401, -1.15661, -1.04446, -1.18225, -0.304947, 6.10131, -0.216338, 1.97832, 3.72039, -0.353205, -3.28684
